itemid,count,percentage,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue,type,is_in_extract
229148,1039,0.014197674259712221,Metabolic disturbance NCP - Problem resolved,Metabolic disturbance NCP - Problem resolved,chartevents,Care Plans,,Text,,,2.0,0
228374,1038,0.014184009510665337,Stroke Volume (SV NICOM),Stroke Volume (SV NICOM),chartevents,NICOM,mL/beat,Numeric,,,,0
228420,1038,0.014184009510665337,Compression device # 2,Compression device # 2,chartevents,Cardiovascular,,Text,,,2.0,0
229150,1035,0.014143015263524685,Palliative Care NCP - Expected outcomes,Palliative Care NCP - Expected outcomes,chartevents,Care Plans,,Text,,,4.0,0
229145,1028,0.0140473620201965,Metabolic disturbance NCP - Interventions,Metabolic disturbance NCP - Interventions,chartevents,Care Plans,,Text,,,13.0,0
229152,1025,0.014006367773055847,Palliative Care NCP - Interventions,Palliative Care NCP - Interventions,chartevents,Care Plans,,Text,,,9.0,0
224167,1015,0.01386972028258701,Manual Blood Pressure Systolic Left,Manual BPs L,chartevents,Routine Vital Signs,mmHg,Numeric,,,,1
224906,1013,0.013842390784493242,Impaired Skin Drainage #6,Site Drainage #6,chartevents,Skin - Impairment,,Text,,,9.0,0
227439,1010,0.013801396537352592,Indwelling Port (PortaCath) placed in outside facility,Indwelling Port placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,,,0
227671,1008,0.013774067039258825,Non-Violent Restraints,Non-Violent Restraints,chartevents,Restraint/Support Systems,,Text,,,2.0,0
229327,1002,0.013692078544977521,Activity Intolerance  NCP - Expected outcomes,AI NCP - Expected outcomes,chartevents,Care Plans,,Text,,,6.0,0
228541,998,0.013637419548789987,Pressure Ulcer #3- Treatment,Pressure Ulcer #3- Treatment,chartevents,Skin - Impairment,,Text,,,30.0,0
223767,998,0.013637419548789987,Intra Cranial Pressure Alarm - High,ICP Alarm - High,chartevents,Alarms,mmHg,Numeric,,,,0
229147,997,0.013623754799743103,Metabolic disturbance NCP - Plan revised,Metabolic disturbance NCP - Plan revised,chartevents,Care Plans,,Text,,,2.0,0
228867,995,0.013596425301649335,Assist Device,Assist Device,chartevents,Treatments,,Text,,,7.0,0
227474,993,0.013569095803555567,Incision Site #3,Incision Site #3,chartevents,Skin - Incisions,,Text,,,42.0,0
228533,989,0.013514436807368033,Impaired Skin #5- Treatment,Impaired Skin #5- Treatment,chartevents,Skin - Impairment,,Text,,,30.0,0
223768,989,0.013514436807368033,Intra Cranial Pressure Alarm - Low,ICP Alarm - Low,chartevents,Alarms,mmHg,Numeric,,,,0
229155,989,0.013514436807368033,Palliative Care NCP - Problem resolved,Palliative Care NCP - Problem resolved,chartevents,Care Plans,,Text,,,2.0,0
227807,987,0.013487107309274266,In-line Suction Catheter Changed,In-line Suction Changed,chartevents,Respiratory,,Checkbox,,,,0
229154,985,0.013459777811180497,Palliative Care NCP - Plan revised,Palliative Care NCP - Plan revised,chartevents,Care Plans,,Text,,,2.0,0
224643,981,0.013405118814992963,Manual Blood Pressure Diastolic Left,Manual BPd L,chartevents,Routine Vital Signs,mmHg,Numeric,,,,1
229319,972,0.013282136073571009,Activity / Mobility (JH-HLM),Activity / Mobility (JH-HLM),chartevents,Treatments,,Text,,,8.0,0
227630,969,0.013241141826430358,Arctic Sun Temp #1 Location,Arctic Sun Temp #1 Location,chartevents,Routine Vital Signs,,Text,,,5.0,0
228815,963,0.013159153332149055,Pressure ulcer #3- Stage,Pressure ulcer #3- Stage,chartevents,Skin - Impairment,,Text,,,7.0,0
228702,961,0.013131823834055287,Lines/Tubes,Lines/Tubes,chartevents,MD Progress Note,,Text,,,14.0,0
228377,960,0.013118159085008404,SVI Change,SVI Change,chartevents,NICOM,%,Numeric,,,,0
227783,954,0.0130361705907271,Impaired Skin - Dressing Status  #4,Impaired Skin  - Dressing Status  #4,chartevents,Skin - Impairment,,Text,,,5.0,0
227632,953,0.013022505841680217,Arctic Sun/Alsius Temp #1 C,Arctic Sun/Alsius Temp #1 C,chartevents,Routine Vital Signs,°C,Numeric,,,,0
224713,952,0.013008841092633333,Circuit Changed,Circuit Changed,chartevents,Respiratory,,Text,,,2.0,0
229292,949,0.012967846845492683,GI Prophy,GI Prophy,chartevents,MD Progress Note,,Text,,,4.0,0
225738,943,0.01288585835121138,CCO PAC Discontinued,CCO PAC Discontinued,chartevents,Access Lines - Invasive,,Text,,,3.0,0
227586,943,0.01288585835121138,GI pH,GI pH,chartevents,GI/GU,None,Numeric,,,,0
227243,940,0.012844864104070729,Manual Blood Pressure Systolic Right,Manual BPs R,chartevents,Routine Vital Signs,mmHg,Numeric,,,,1
224845,938,0.012817534605976962,Permanent Pacemaker Rate,Permanent Pacemaker Rate,chartevents,Cardiovascular (Pacer Data),/min,Numeric,,,,0
229641,931,0.012721881362648775,Stroke NCP - Consults,Stroke NCP - Consults,chartevents,Care Plans,,Text,,,9.0,0
225024,930,0.012708216613601891,Incision Dressing #3,Incision Dressing #3,chartevents,Skin - Incisions,,Text,,,8.0,0
224309,928,0.012680887115508124,Assisted Systole,SYS - Assisted,chartevents,IABP,mmHg,Numeric,,,,0
225636,927,0.01266722236646124,D-Dimer,D-Dimer,chartevents,Labs,None,Numeric,,,,0
224652,926,0.012653557617414357,Unassisted Systole,SYS - Unassisted,chartevents,IABP,mmHg,Numeric,,,,0
224310,926,0.012653557617414357,Augmented Diastole,AUG,chartevents,IABP,mmHg,Numeric,,,,0
224311,925,0.012639892868367473,BAEDP,DIA - Assisted,chartevents,IABP,mmHg,Numeric,,,,0
224654,925,0.012639892868367473,PAEDP,DIA - Unassisted,chartevents,IABP,mmHg,Numeric,,,,0
228372,923,0.012612563370273704,Leg Raise Result (NICOM),Leg Raise Result (NICOM),chartevents,NICOM,,Text,,,2.0,0
224322,921,0.012585233872179937,IABP Mean,MAP - Assisted,chartevents,IABP,mmHg,Numeric,,,,1
227627,920,0.012571569123133054,Arctic Sun/Alsius Set Temp,Arctic Sun/Alsius Set Temp,chartevents,Treatments,°C,Numeric,,,,0
227631,918,0.012544239625039286,Arctic Sun Temp #2 Location,Arctic Sun Temp #2 Location,chartevents,Routine Vital Signs,,Text,,,5.0,0
227066,907,0.012393927385523565,Cerebral Perfusion Pressure,CPP,chartevents,Hemodynamics,mmHg,Numeric,,,,0
228370,904,0.012352933138382913,CO / CI Change,CO / CI Change,chartevents,NICOM,%,Numeric,,,,0
225339,903,0.01233926838933603,IABP Site Appear,IABP Site Appear,chartevents,Access Lines - Invasive,,Text,,,10.0,0
229288,903,0.01233926838933603,Nutrition,Nutrition,chartevents,MD Progress Note,,Text,,,7.0,0
225029,902,0.012325603640289146,Dressing Status #3,Dressing Status #3,chartevents,Skin - Incisions,,Text,,,5.0,0
229330,901,0.012311938891242262,Activity Intolerance  NCP - Interventions,AI NCP - Interventions,chartevents,Care Plans,,Text,,,5.0,0
225988,899,0.012284609393148495,IABP Position on leg,IABP Position on leg,chartevents,Access Lines - Invasive,,Text,,,3.0,0
228745,899,0.012284609393148495,Pressure ulcer #3- Surrounding tissue,Pressure ulcer #3- Surrounding tissue,chartevents,Skin - Impairment,,Text,,,7.0,0
229659,898,0.012270944644101611,% Minute Volume,% Minute Volume,chartevents,Respiratory,None,Numeric,,,,0
225982,893,0.012202620898867192,IABP Balloon Waveform,IABP Balloon Waveform,chartevents,Access Lines - Invasive,,Text,,,2.0,0
226110,891,0.012175291400773424,IABP placed in outside facility,IABP placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,,,0
227242,891,0.012175291400773424,Manual Blood Pressure Diastolic Right,Manual BPd R,chartevents,Routine Vital Signs,mmHg,Numeric,,,,0
227634,889,0.012147961902679657,Arctic Sun/Alsius Temp #2 C,Arctic Sun/Alsius Temp #2 C,chartevents,Routine Vital Signs,°C,Numeric,,,,0
227115,889,0.012147961902679657,PCA bolus units,PCA bolus units,chartevents,Pain/Sedation,,Text,,,2.0,0
225986,888,0.012134297153632774,IABP Arterial Waveform Source,IABP Arterial Waveform Source,chartevents,Access Lines - Invasive,,Text,,,2.0,0
227755,887,0.01212063240458589,Midline Placement Confirmed by X-ray,Midline Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,,3.0,0
225341,886,0.012106967655539006,IABP Art. Waveform Appear,IABP Art. Waveform Appear,chartevents,Access Lines - Invasive,,Text,,,6.0,0
225985,884,0.01207963815744524,IABP Helium Tubing,IABP Helium Tubing,chartevents,Access Lines - Invasive,,Text,,,2.0,0
227418,881,0.012038643910304587,Midline Dressing Occlusive,Midline Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,,,0
224746,879,0.01201131441221082,Transpulmonary Pressure (Exp. Hold),Transpulmonary Press (Exp. Hold),chartevents,Respiratory,cmH2O,Numeric,-2.0,,,0
226130,879,0.01201131441221082,ICP Line Site Appear,ICP Line Site Appear,chartevents,Access Lines - Invasive,,Text,,,10.0,0
227628,878,0.011997649663163936,Arctic Sun Water Temp,Arctic Sun Water Temp,chartevents,Treatments,°C,Numeric,,,,0
226129,877,0.011983984914117052,ICP Line placed in outside facility,ICP Line placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,,,0
223771,875,0.011956655416023285,PCWP,PCWP,chartevents,Hemodynamics,mmHg,Numeric,,,,0
227363,875,0.011956655416023285,ICP Line Dressing Occlusive,ICP Line Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,,,0
227980,874,0.011942990666976402,Intra Aortic Balloon Pump Setting,IABP Setting,chartevents,IABP,,Text,,,5.0,0
225987,871,0.01190199641983575,IABP Power Source,IABP Power Source,chartevents,Access Lines - Invasive,,Text,,,2.0,0
224747,870,0.011888331670788866,Transpulmonary Pressure (Insp. Hold),Transpulmonary Press (Insp. Hold),chartevents,Respiratory,cmH2O,Numeric,,20.0,,0
229333,870,0.011888331670788866,Activity Intolerance NCP - Plan revised,AI NCP - Plan revised,chartevents,Care Plans,,Text,,,2.0,0
225979,866,0.011833672674601331,IABP Size,IABP Size,chartevents,Access Lines - Invasive,,Text,,,4.0,0
225342,863,0.011792678427460679,IABP Zero/Calibrate,IABP Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,,,0
224976,858,0.011724354682226261,Surrounding Tissue #6,Surrounding Tissue #6,chartevents,Skin - Impairment,,Text,,,7.0,0
225981,855,0.01168336043508561,IABP Alarms Activated,IABP Alarms Activated,chartevents,Access Lines - Invasive,,Checkbox,,,,0
224066,853,0.011656030936991843,Position Change,Position Change,chartevents,Restraint/Support Systems,,Text,,,2.0,0
225984,853,0.011656030936991843,IABP Trigger,IABP Trigger,chartevents,Access Lines - Invasive,,Text,,,3.0,0
229334,849,0.011601371940804307,Activity Intolerance  NCP - Problem resolved,AI NCP - Problem resolved,chartevents,Care Plans,,Text,,,2.0,0
227187,849,0.011601371940804307,Pinsp (Draeger only),Pinsp (Draeger only),chartevents,Respiratory,cmH2O,Numeric,,,,0
224913,848,0.011587707191757423,Impaired Skin Drainage Amount #6,Site Drainage Amount #6,chartevents,Skin - Impairment,,Text,,,7.0,0
226133,847,0.01157404244271054,ICP Line Waveform Appear,ICP Line Waveform Appear,chartevents,Access Lines - Invasive,,Text,,,7.0,0
225980,844,0.011533048195569889,IABP Volume,IABP Volume,chartevents,Access Lines - Invasive,mL,Numeric,,,,0
225772,842,0.01150571869747612,Sheath Size,Sheath Size,chartevents,Access Lines - Invasive,,Text,,,6.0,0
223963,841,0.011492053948429237,Temporary Pacemaker Wires Ground,Temp Pacemaker Wires Ground,chartevents,Cardiovascular (Pacer Data),None,Numeric,,,,0
228755,834,0.011396400705101051,Pressure ulcer #3- Drainage,Pressure ulcer #3- Drainage,chartevents,Skin - Impairment,,Text,,,9.0,0
224962,823,0.01124608846558533,Impaired Skin Wound Base #6,Site/Wound Base #6,chartevents,Skin - Impairment,,Text,,,7.0,0
224891,821,0.011218758967491561,Impaired Skin Cleanse #5,Site Cleanse #5,chartevents,Skin - Impairment,,Text,,,5.0,0
225770,818,0.01117776472035091,Sheath Waveform Appear,Sheath Waveform Appear,chartevents,Access Lines - Invasive,,Text,,,5.0,0
223942,816,0.011150435222257143,Graft/Flap Pulse,Graft/Flap Pulse,chartevents,Cardiovascular,,Text,,,7.0,0
229534,814,0.011123105724163376,Multi Lumen - Obturator in place,Multi Lumen - Obturator in place,chartevents,Access Lines - Invasive,,Text,,,3.0,0
226134,809,0.011054781978928957,ICP Line Zero/Calibrate,ICP Line Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,,,0
229865,798,0.010904469739413235,No Pressure Injury Present,No Pressure Injury Present,chartevents,Skin - Assessment,,Checkbox,,,,0
228856,793,0.010836145994178818,Impaired Skin #4- Type,Impaired Skin #4- Type,chartevents,Skin - Impairment,,Text,,,21.0,0
228735,792,0.010822481245131934,Pressure ulcer #3- Wound Base,Pressure ulcer #3- Wound Base,chartevents,Skin - Impairment,,Text,,,6.0,0
228805,788,0.010767822248944398,Pressure ulcer #3- Dressing status,Pressure ulcer #3- Dressing status,chartevents,Skin - Impairment,,Text,,,5.0,0
227470,776,0.010603845260381793,Sed Rate,Sed Rate,chartevents,Labs,None,Numeric with tag,,,,0
223797,771,0.010535521515147373,Sensory Level,Sensory Level,chartevents,Pain/Sedation,,Text,,,14.0,0
224800,767,0.01048086251895984,AV Fistula R Bruit,AV Fistula R Bruit,chartevents,Cardiovascular,,Text,,,2.0,0
224019,766,0.010467197769912956,Bladder Irrigation,Bladder Irrigation,chartevents,GI/GU,,Text,,,4.0,0
227754,765,0.010453533020866072,IABP Placement Confirmed by X-ray,IABP Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,,3.0,0
227962,761,0.010398874024678536,Restraints (Violent),Restraints (Violent),chartevents,Restraint/Support Systems,,Text,,,2.0,0
227678,756,0.010330550279444118,Restraint Device (Non-Violent),Restraint Device (Non-Violent),chartevents,Restraint/Support Systems,,Text,,,7.0,0
224801,748,0.010221232287069048,AV Fistula R Thrill,AV Fistula R Thrill,chartevents,Cardiovascular,,Text,,,2.0,0
224927,739,0.010098249545647094,Impaired Skin Odor #6,Odor #6,chartevents,Skin - Impairment,,Checkbox,,,,0
227717,739,0.010098249545647094,Cerebral Perfusion Pressure Alarm - Low,CPP Alarm - Low,chartevents,Alarms,mmHg,Numeric,,,,0
227669,738,0.01008458479660021,Side Rails (Restraint),Side Rails (Restraint),chartevents,Restraint/Support Systems,,Text,,,5.0,0
224419,738,0.01008458479660021,Negative Insp. Force,Negative Insp. Force,chartevents,Respiratory,cmH2O,Numeric,,,,0
228878,738,0.01008458479660021,PeCO2,PeCO2,chartevents,Respiratory,mmHg,Numeric,,,,0
227680,736,0.010057255298506443,Restraint Location_V2,Restraint Location_V2,chartevents,Restraint/Support Systems,,Text,,,10.0,0
229293,730,0.00997526680422514,Pain Control,Pain Control,chartevents,MD Progress Note,,Text,,,6.0,0
228725,726,0.009920607808037605,Pressure ulcer #3- Length,Pressure ulcer #3- Length,chartevents,Skin - Impairment,cm,Numeric,,,,0
227716,724,0.009893278309943838,Cerebral Perfusion Pressure Alarm - High,CPP Alarm - High,chartevents,Alarms,mmHg,Numeric,,,,0
227674,721,0.009852284062803187,Face to Face Eval (Non-Violent),Face to Face Eval (Non-Violent),chartevents,Restraint/Support Systems,,Text,,,2.0,0
227365,718,0.009811289815662535,14 Gauge Dressing Occlusive,14 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,,,0
228622,716,0.009783960317568768,Pressure Ulcer #3- Width,Pressure Ulcer #3-  Width,chartevents,Skin - Impairment,cm,Numeric,,,,0
228604,711,0.00971563657233435,Impaired Skin #5- Dressing Status,Impaired Skin #5- Dressing Status,chartevents,Skin - Impairment,,Text,,,5.0,0
229868,710,0.009701971823287466,Risk Factors for Pressure Injury,Risk Factors for Pressure Injury,chartevents,Skin - Assessment,,Text,,,14.0,0
226135,707,0.009660977576146814,14 Gauge placed in outside facility,14 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,,,0
227723,706,0.00964731282709993,AVA Dressing Occlusive,AVA Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,,,0
227728,704,0.009619983329006163,AVA Line Site Appear,AVA Line Site Appear,chartevents,Access Lines - Invasive,,Text,,,10.0,0
227676,698,0.00953799483472486,Reason for Restraints (Non-Violent),Reason for Restraints (Non-Violent),chartevents,Restraint/Support Systems,,Text,,,5.0,0
225747,692,0.009456006340443558,PICC Line Discontinued,PICC Line Discontinued,chartevents,Access Lines - Invasive,,Text,,,3.0,0
224411,689,0.009415012093302906,Epidural Bolus (mL),Epidural Bolus (mL),chartevents,Pain/Sedation,mL,Numeric,,,,0
224178,680,0.009292029351880953,Small Volume Neb Dose #2,SV Neb Dose #2,chartevents,Respiratory,None,Numeric,,,,0
224981,678,0.009264699853787185,Tunneling Present #4,Tunneling Present #4,chartevents,Skin - Impairment,,Text,,,3.0,0
224919,674,0.00921004085759965,Impaired Skin Length #5,Site Length #5,chartevents,Skin - Impairment,cm,Numeric,,,,0
224934,667,0.009114387614271463,Impaired Skin Site #6,Site #6,chartevents,Skin - Impairment,,Text,,,78.0,0
224948,663,0.009059728618083929,Impaired Skin Type #6,Type #6,chartevents,Skin - Impairment,,Text,,,22.0,0
224443,662,0.009046063869037045,GI #2 Tube Place Check,GI #2 Tube Place Check,chartevents,GI/GU,,Text,,,2.0,0
224954,658,0.00899140487284951,Impaired Skin Width #5,Site Width #5,chartevents,Skin - Impairment,cm,Numeric,,,,0
229705,655,0.008950410625708859,CP-Pain Assessment Method,CP-Pain Assessment Method,chartevents,Pain/Sedation,,Text,,,3.0,0
228765,653,0.008923081127615091,Pressure ulcer #3- Drainage amount,Pressure ulcer #3- Drainage amount,chartevents,Skin - Impairment,,Text,,,7.0,0
225217,651,0.008895751629521324,Trauma Line Site Appear,Trauma Line Site Appear,chartevents,Access Lines - Invasive,,Text,,,11.0,0
227353,651,0.008895751629521324,Trauma Line Dressing Occlusive,Trauma Line Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,,,0
227727,651,0.008895751629521324,AVA Line placed in outside facility,AVA Line placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,,,0
227681,648,0.008854757382380672,Less Restrictive Measures_V1,Less Restrictive Measures,chartevents,Restraint/Support Systems,,Text,,,19.0,0
227682,645,0.008813763135240021,Restraints Evaluated_V2,Restraints Evaluated_V2_,chartevents,Restraint/Support Systems,,Text,,,3.0,0
225771,644,0.008800098386193137,Sheath Zero/Calibrate,Sheath Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,,,0
225043,644,0.008800098386193137,Incision Packing #2,Incision Packing #2,chartevents,Skin - Incisions,,Text,,,4.0,0
228713,642,0.00877276888809937,Vascular,Vascular,chartevents,MD Progress Note,,Text,,,4.0,0
223966,641,0.008759104139052487,Transcutaneous Pacer Placement,Transcutaneous Pacer Placement,chartevents,Cardiovascular (Pacer Data),,Text,,,3.0,0
227673,637,0.00870444514286495,Non-Violent Restraints Ordered,Non-Violent Restraints Ordered,chartevents,Restraint/Support Systems,,Text,,,2.0,0
225730,636,0.008690780393818067,PA Catheter Line Tip Cultured,PA Catheter Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,,,0
224705,633,0.008649786146677416,P High (APRV),P High (APRV),chartevents,Respiratory,cmH2O,Numeric,,,,0
228775,632,0.008636121397630533,Pressure ulcer #3- Odor,Pressure ulcer #3- Odor,chartevents,Skin - Impairment,,Checkbox,,,,0
224367,630,0.008608791899536766,Epidural Total Dose (mL),Epidural Total Dose (mL),chartevents,Pain/Sedation,mL,Numeric,,,,0
227355,629,0.008595127150489882,IABP Dressing Occlusive,IABP Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,,,0
228580,626,0.00855413290334923,Impaired Skin #5- Type,Impaired Skin #5- Type,chartevents,Skin - Impairment,,Text,,,20.0,0
224967,625,0.008540468154302346,Pressure Ulcer Stage #4,Pressure Ulcer Stage #4,chartevents,Skin - Impairment,,Text,,,8.0,0
226119,625,0.008540468154302346,Trauma Line placed in outside facility,Trauma Line placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,,,0
227761,622,0.008499473907161695,Sheath Placement Confirmed by X-ray,Sheath Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,,3.0,0
224896,621,0.008485809158114812,Impaired Skin Depth #3,Site Depth #3,chartevents,Skin - Impairment,cm,Numeric,,,,0
224706,618,0.008444814910974159,P Low (APRV),P Low (APRV),chartevents,Respiratory,cmH2O,Numeric,,,,0
228866,618,0.008444814910974159,Plateau Pressure (IABP),Plateau Pressure (IABP),chartevents,IABP,mmHg,Numeric,,,,0
228698,618,0.008444814910974159,Abdominal - (GI / Hepatic / Renal),Abdominal - (GI / Hepatic / Renal),chartevents,MD Progress Note,,Text,,,5.0,0
228568,617,0.008431150161927276,Incision #4- Cleanse,Incision #4- Cleanse,chartevents,Skin - Incisions,,Text,,,3.0,0
224941,617,0.008431150161927276,Impaired Skin Treatment #6,Site Treatment #6,chartevents,Skin - Impairment,,Text,,,26.0,0
224707,617,0.008431150161927276,T High (APRV),T High (APRV),chartevents,Respiratory,sec,Numeric,,,,0
228785,610,0.00833549691859909,Pressure ulcer #3- Cleanse,Pressure ulcer #3- Cleanse,chartevents,Skin - Impairment,,Text,,,3.0,0
224709,609,0.008321832169552207,T Low (APRV),T Low (APRV),chartevents,Respiratory,sec,Numeric,,,,0
224988,609,0.008321832169552207,Undermining Present #4,Undermining Present #4,chartevents,Skin - Impairment,,Text,,,3.0,0
227732,607,0.008294502671458438,AVA Line Placement Confirmed by X-ray,AVA Line Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,,3.0,0
228382,601,0.008212514177177136,Total Peripheral Resistance Index (TPRI) (NICOM),TPRI (NICOM),chartevents,NICOM,dynes*sec/cm5/m2,Numeric,,,,0
228522,596,0.008144190431942717,Impaired Skin #5- Cleanse,Impaired Skin #5- Cleanse,chartevents,Skin - Impairment,,Text,,,3.0,0
228704,594,0.00811686093384895,Neurological,Neurological,chartevents,MD Progress Note,,Text,,,4.0,0
227784,588,0.008034872439567648,Impaired Skin  - Dressing Status #5,Impaired Skin  - Dressing Status #5,chartevents,Skin - Impairment,,Text,,,5.0,0
224907,582,0.007952883945286345,Impaired Skin Drainage #7,Site Drainage #7,chartevents,Skin - Impairment,,Text,,,8.0,0
229377,577,0.007884560200051925,Part 1 Question,Part 1 Question,chartevents,Swallow Evaluation,,Text,,,5.0,0
223954,569,0.007775242207676856,Pericardial Drain Site,Pericardial Drain Site,chartevents,Cardiovascular,,Text,,,4.0,0
227965,567,0.0077479127095830885,Restraint Device (Violent),Restraint Device (Violent),chartevents,Restraint/Support Systems,,Text,,,10.0,0
224791,564,0.007706918462442437,GI #3 Tube Type,GI #3 Tube Type,chartevents,GI/GU,,Text,,,9.0,0
229379,563,0.007693253713395553,Swallow Eval,Nsg Swallow Eval,chartevents,Swallow Evaluation,,Text,,,2.0,0
223952,562,0.00767958896434867,Pericardial Drain Status,Pericardial Drain Status,chartevents,Cardiovascular,,Text,,,3.0,0
224442,561,0.007665924215301786,GI #3 Intub Site,GI #3 Intub Site,chartevents,GI/GU,,Text,,,5.0,0
224792,561,0.007665924215301786,GI #3 Tube Status,GI #3 Tube Status,chartevents,GI/GU,,Text,,,5.0,0
223953,559,0.007638594717208018,Pericardial Drain Drainage,Pericardial Drain Drainage,chartevents,Cardiovascular,,Text,,,7.0,0
227963,538,0.007351634987223459,Restraints Ordered (Violent),Restraints Ordered (Violent),chartevents,Restraint/Support Systems,,Text,,,2.0,0
228691,537,0.007337970238176576,Febrile last 24 hours,Febrile last 24 hours,chartevents,MD Progress Note,,Text,,,2.0,0
229656,536,0.007324305489129692,Stroke NCP - Water Swallow Deferred,Stroke NCP - Water Swallow Deferred,chartevents,Care Plans,,Text,,,7.0,0
228501,536,0.007324305489129692,Impaired Skin #6- Location,Impaired Skin #6- Location,chartevents,Skin - Impairment,,Text,,,86.0,0
224996,535,0.007310640740082809,Incision Appearance #5,Incision Appearance #5,chartevents,Skin - Incisions,,Text,,,7.0,0
224999,531,0.007255981743895273,Incision Cleansing #3,Incision Cleansing #3,chartevents,Skin - Incisions,,Text,,,4.0,0
224375,528,0.007214987496754622,Cont Neb - Med,Cont Neb - Med,chartevents,Respiratory,,Text,,,2.0,0
228552,528,0.007214987496754622,Pressure Ulcer #4- Type,Pressure Ulcer #4- Type,chartevents,Skin - Impairment,,Text,,,1.0,0
225016,526,0.007187657998660855,Incision Drainage #5,Incision Drainage #5,chartevents,Skin - Incisions,,Text,,,9.0,0
228444,525,0.007173993249613971,BIS Index Range,BIS Index Range,chartevents,Pain/Sedation,None,Numeric,,,,0
227589,525,0.007173993249613971,GI #2 Tube Place Method,GI #2 Tube Place Method,chartevents,GI/GU,,Text,,,3.0,0
228611,524,0.0071603285005670874,Pressure Ulcer #2- Depth,Pressure Ulcer #2- Depth,chartevents,Skin - Impairment,cm,Numeric,,,,0
229378,524,0.0071603285005670874,Part 2 Question,Part 2 Question,chartevents,Swallow Evaluation,,Text,,,3.0,0
225007,521,0.007119334253426436,Incision Closure #5,Incision Closure #5,chartevents,Skin - Incisions,,Text,,,9.0,0
228835,521,0.007119334253426436,Pressure ulcer #3- Tunneling present,Pressure ulcer #3- Tunneling present,chartevents,Skin - Impairment,,Text,,,3.0,0
229087,520,0.007105669504379552,Critically ill,Critically ill,chartevents,MD Progress Note,,Text,,,2.0,0
229243,517,0.007064675257238901,Neuro Mon Line Type,Neuro Mon Line Type,chartevents,Access Lines - Invasive,,Text,,,10.0,0
228442,514,0.00702368101009825,BIS - EMG,BIS - EMG,chartevents,Pain/Sedation,,Text,,,5.0,0
227127,512,0.006996351512004482,Indwelling (PortaCath) Port #1,Indwelling (PortaCath) Port #1,chartevents,Access Lines - Invasive,,Text,,,2.0,0
227762,510,0.006969022013910715,Trauma Line Placement Confirmed by X-ray,Trauma Line Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,,3.0,0
225740,509,0.006955357264863831,Dialysis Catheter Discontinued,Dialysis Catheter Discontinued,chartevents,Access Lines - Invasive,,Text,,,3.0,0
225725,508,0.006941692515816947,Dialysis Catheter Tip Cultured,Dialysis Catheter Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,,,0
228443,506,0.0069143630177231795,BIS - SQI,BIS - SQI,chartevents,Pain/Sedation,,Text,,,5.0,0
227543,505,0.006900698268676296,CO (Arterial),CO (Arterial),chartevents,Hemodynamics,L/min,Numeric,4.0,8.0,,0
227966,505,0.006900698268676296,Face to Face Eval (Violent),Face to Face Eval (Violent),chartevents,Restraint/Support Systems,,Text,,,2.0,0
229505,503,0.006873368770582528,Surgibra,Surgibra,chartevents,Treatments,,Checkbox,,,,0
228534,501,0.006846039272488761,Impaired Skin #6- Treatment,Impaired Skin #6- Treatment,chartevents,Skin - Impairment,,Text,,,27.0,0
224176,500,0.006832374523441877,MDI #3 Drug,MDI #3 Drug,chartevents,Respiratory,,Text,,,6.0,0
224892,499,0.0068187097743949935,Impaired Skin Cleanse #6,Site Cleanse #6,chartevents,Skin - Impairment,,Text,,,4.0,0
228097,499,0.0068187097743949935,14 Gauge placed in the field,14 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,,,0
228509,498,0.00680504502534811,Pressure Ulcer #4- Location,Pressure Ulcer #4- Location,chartevents,Skin - Impairment,,Text,,,63.0,0
224963,497,0.0067913802763012255,Impaired Skin Wound Base #7,Site/Wound Base #7,chartevents,Skin - Impairment,,Text,,,7.0,0
229704,496,0.006777715527254342,CP-Pain Management,CP-Pain Management,chartevents,Pain/Sedation,,Text,,,9.0,0
